TARA_MED_95_MAG_00409_000000005183.5.1__46-226	LHCr9homolog
TARA_PSE_93_MAG_00241_000000000165.1.1__53-232	LHCr9homolog
TARA_MED_95_MAG_00396_000000000128.5.1__53-232	LHCr9homolog
TARA_ION_45_MAG_00177_000000005270.9.1__54-232	LHCr9homolog
TARA_MED_95_MAG_00396_000000003812.18.1__68-244	LHCr9homolog
Metagenome_centric_SAG_TOSAG51-11_Gene14717__25-123	LHCr9homolog
TARA_ARC_108_MAG_00262_000000004853.5.1__92-264	LHCr9homolog
TARA_ARC_108_MAG_00215_000000002469.34.1__29-186	LHCr9homolog
Metagenome_centric_SAG_TOSAG00-18_Gene7504__37-186	LHCr9homolog
TARA_MED_95_MAG_00362_000000002873.5.1__37-187	LHCr9homolog
TARA_MED_95_MAG_00415_000000000410.8.1__34-181	LHCr9homolog
Metagenome_centric_SAG_TOSAG41-5_Gene6138__34-181	LHCr9homolog
TARA_AON_82_MAG_00337_000000009079.9.4__54-207	LHCr9homolog
TARA_ION_45_MAG_00168_000000009030.26.1__1-118	LHCr9homolog
TARA_IOS_50_MAG_00056_000000001517.47.1__29-180	LHCr9homolog
Metagenome_centric_SAG_TOSAG46-2_Gene10140__30-182	LHCr9homolog
TARA_IOS_50_MAG_00125_000000003376.1.2__30-182	LHCr9homolog
TARA_ARC_108_MAG_00189_000000000349.4.1__33-183	LHCr9homolog
TARA_ARC_108_MAG_00137_000000000005.2.1__30-182	LHCr9homolog
TARA_PSW_86_MAG_00236_000000005247.16.1__18-168	LHCr9homolog
TARA_MED_95_MAG_00424_000000001410.2.1__29-180	LHCr9homolog
TARA_PSE_93_MAG_00171_000000000943.8.2__32-182	LHCr9homolog
TARA_ARC_108_MAG_00108_000000006683.11.1__32-182	LHCr9homolog
TARA_MED_95_MAG_00467_000000005619.4.1__38-188	LHCr9homolog
TARA_ARC_108_MAG_00217_000000001466.10.1__32-182	LHCr9homolog
TARA_ARC_108_MAG_00122_000000001983.13.1__1-138	LHCr9homolog
TARA_SOC_28_MAG_00049_extended_000000045458.1.1__35-184	LHCr9homolog
TARA_ARC_108_MAG_00222_000000006353.14.1__30-180	LHCr9homolog
TARA_ARC_108_MAG_00230_000000000128.2.1__23-161	LHCr9homolog
TARA_ARC_108_MAG_00310_000000013798.1.8__37-189	LHCr9homolog
TARA_PSW_86_MAG_00261_000000000313.7.2__29-180	LHCr9homolog
TARA_ARC_108_MAG_00138_000000001448.19.1__29-179	LHCr9homolog
TARA_MED_95_MAG_00394_000000003178.2.1__28-179	LHCr9homolog
TARA_ARC_108_MAG_00253_000000001059.5.1__162-312	LHCr9homolog
TARA_ARC_108_MAG_00219_000000002357.8.2__29-181	LHCr9homolog
TARA_PSW_86_MAG_00276_000000004204.2.1__29-181	LHCr9homolog
TARA_ARC_108_MAG_00256_000000003805.3.3__30-182	LHCr9homolog
TARA_ARC_108_MAG_00165_000000001084.38.2__28-180	LHCr9homolog
TARA_SOC_28_MAG_00077_000000004232.1.2__31-182	LHCr9homolog
TARA_SOC_28_MAG_00060_000000001262.1.1__17-75	LHCr9homolog
TARA_MED_95_MAG_00396_000000001807.1.2__39-190	LHCr9homolog
TARA_PSE_93_MAG_00241_000000004625.10.1__39-190	LHCr9homolog
TARA_ION_45_MAG_00177_000000007305.2.2__39-190	LHCr9homolog
TARA_AOS_82_MAG_00185_000000001187.5.3__469-620	LHCr9homolog
Metagenome_centric_SAG_TOSAG51-11_Gene3313__39-116	LHCr9homolog
Metagenome_centric_SAG_TOSAG51-11_Gene3313__108-168	LHCr9homolog
TARA_IOS_50_MAG_00124_000000003955.20.1__37-188	LHCr9homolog
TARA_PSW_86_MAG_00257_000000000177.21.1__37-188	LHCr9homolog
TARA_PON_109_MAG_00221_000000003668.11.1__62-213	LHCr9homolog
TARA_IOS_50_MAG_00127_000000003145.7.1__62-213	LHCr9homolog
TARA_AOS_82_MAG_00045_000000000669.17.1__61-210	LHCr9homolog
TARA_ARC_108_MAG_00123_000000000449.50.1__71-220	LHCr9homolog
TARA_AOS_82_MAG_00129_000000004689.8.1__511-662	LHCr9homolog
TARA_AON_82_MAG_00274_000000001915.1.2__511-662	LHCr9homolog
